store_id,region,manager,monthly_revenue,foot_traffic,satisfaction_score,coordinates
1,East,Rivera,48250,1200,4.2,"(40.7128, -74.0060)"
2,East,Rivera,,1350,4.5,"(40.7306, -73.9352)"
3,East,Chen,52100,980,,"(40.6782, -73.9442)"
4,East,Chen,39750,1100,3.9,"(40.8448, -73.8648)"
5,West,Patel,61200,1580,4.7,"(34.0522, -118.2437)"
6,West,Patel,58900,,4.6,"(34.0195, -118.4912)"
7,West,Nguyen,,1420,4.1,"(34.1478, -118.1445)"
8,West,Nguyen,44300,890,3.8,"(37.7749, -122.4194)"
9,Central,Osei,36800,760,3.5,"(41.8781, -87.6298)"
10,Central,Osei,41250,825,,"(41.9028, -87.6317)"
11,Central,Kowalski,39900,,3.7,"(39.7684, -86.1581)"
12,Central,Kowalski,,910,4.0,"(38.6270, -90.1994)"
13,South,Alvarez,55600,1340,4.4,"(29.7604, -95.3698)"
14,South,Alvarez,50200,1180,4.2,"(25.7617, -80.1918)"
15,South,Brooks,,1050,,"(33.7490, -84.3880)"
16,South,Brooks,47800,995,3.9,"(30.2672, -97.7431)"
17,North,Larsen,,720,4.1,"(44.9778, -93.2650)"
18,North,Larsen,34900,680,4.0,"(46.7867, -92.1005)"
19,North,Berg,38200,,3.6,"(44.9537, -93.0900)"
20,North,Berg,36700,795,3.8,"(43.0731, -89.4012)"
